                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 0.6818,                 0.5536,                0.97179,                0.89936,                0.92449,                 0.9669,                0.78412,                0.71483,                0.58168,                0.97196,               0.001307,               0.001307,               0.001307
                     37,                0.63746,                0.54565,                0.96482,                0.97105,                0.95402,                0.98774,                0.79832,                0.71583,                0.52299,                0.96234,              0.0012872,              0.0012872,              0.0012872
                     38,                0.57725,                0.48808,                0.94216,                0.98762,                0.96552,                0.99139,                 0.7973,                0.70848,                0.48951,                0.95983,              0.0012674,              0.0012674,              0.0012674
                     39,                0.62101,                 0.5185,                0.96476,                0.97683,                0.96939,                0.98979,                0.79724,                0.69589,                0.48396,                0.98757,              0.0012476,              0.0012476,              0.0012476
                     40,                0.58987,                0.49725,                0.93722,                0.97586,                0.95402,                0.99149,                0.80396,                0.65216,                0.49707,                0.92277,              0.0012278,              0.0012278,              0.0012278
                     41,                0.60404,                0.48172,                0.93877,                0.98847,                0.98527,                0.99393,                 0.8084,                 0.6789,                0.48205,                0.93096,               0.001208,               0.001208,               0.001208
                     42,                0.60664,                0.49009,                0.93706,                0.95669,                0.98851,                0.99136,                0.80434,                0.67551,                0.52481,                0.93174,              0.0011882,              0.0011882,              0.0011882
                     43,                0.62332,                0.52423,                0.95014,                0.94317,                0.95402,                0.98914,                0.79669,                0.69068,                0.51656,                0.91967,              0.0011684,              0.0011684,              0.0011684
                     44,                0.65509,                0.50756,                 0.9475,                0.98837,                0.97668,                0.99275,                0.81627,                0.66828,                 0.4679,                0.92744,              0.0011486,              0.0011486,              0.0011486
                     45,                0.64434,                0.52451,                0.96913,                0.98834,                0.97398,                0.99151,                0.83321,                0.60644,                0.43002,                0.90405,              0.0011288,              0.0011288,              0.0011288
                     46,                0.60951,                0.46289,                0.95327,                0.97725,                0.98745,                0.99236,                0.82771,                0.64156,                0.43176,                  0.927,               0.001109,               0.001109,               0.001109
                     47,                0.57432,                0.49931,                0.91402,                      1,                0.97213,                0.99363,                0.84089,                0.59562,                0.41705,                0.90701,              0.0010892,              0.0010892,              0.0010892
                     48,                0.63055,                0.50675,                 1.0235,                0.98586,                0.98851,                0.98876,                0.82603,                0.66089,                0.45612,                0.93596,              0.0010694,              0.0010694,              0.0010694
